caption,name,vendor,
NI-VISA Headers 22.5.0,NI-VISA Headers 22.5.0,National Instruments,
ESC Home Page Plugin,ESC Home Page Plugin,Ihr Firmenname,
Wave Support Software,Wave Support Software,Ihr Firmenname,
NI-SCOPE 14.1 (64-bit),NI-SCOPE 14.1 (64-bit),National Instruments,
NI Error Reporting 2012 (64-bit),NI Error Reporting 2012 (64-bit),National Instruments,
NI-SWITCH 14.0,NI-SWITCH 14.0,National Instruments,
NI-DCPower Runtime 14.1 (64-bit),NI-DCPower Runtime 14.1 (64-bit),National Instruments,
NI-P2P 14.0.0 (64-bit),NI-P2P 14.0.0 (64-bit),National Instruments,
NI LabVIEW Run-Time Engine Interop 2012 (64-bit),NI LabVIEW Run-Time Engine Interop 2012 (64-bit),National Instruments,
NI-DMM 14.0,NI-DMM 14.0,National Instruments,
NI TDM Excel Add-In 21.5,NI TDM Excel Add-In 21.5,National Instruments,
NI MXI Manager 21.8,NI MXI Manager 21.8,National Instruments,
NI-MXLC Core 21.8.0,NI-MXLC Core 21.8.0,National Instruments,
NI LabVIEW Runtime 2021 SP1 f2,NI LabVIEW Runtime 2021 SP1 f2,National Instruments,
NI Portable Configuration 21.5.0,NI Portable Configuration 21.5.0,National Instruments,
NI Controller Driver 21.8 64-bit,NI Controller Driver 21.8 64-bit,National Instruments,
NI LabVIEW Runtime 2020 SP1 Non-English Support.,NI LabVIEW Runtime 2020 SP1 Non-English Support.,National Instruments,
NI MAX Remote Configuration Installer 21.5,NI MAX Remote Configuration Installer 21.5,National Instruments,
NI-PAL 21.8,NI-PAL 21.8,National Instruments,
NI Remote PXI Provider for MAX 21.5.0,NI Remote PXI Provider for MAX 21.5.0,National Instruments,
NI LabVIEW Runtime 2021 SP1 Non-English Support.,NI LabVIEW Runtime 2021 SP1 Non-English Support.,National Instruments,
NI Physical Interface Extension Installer for 64-bit 21.8.0,NI Physical Interface Extension Installer for 64-bit 21.8.0,National Instruments,
NI Software,NI Software,NI,
AdvKernelDriver,AdvKernelDriver,"Advantech Co., Ltd.",
KUNBUS Network Configurator (Version 2.0.2),KUNBUS Network Configurator (Version 2.0.2),KUNBUS GmbH,
SIO_COMMPort_Driver,SIO_COMMPort_Driver,Nuvoton Technology Corp.,
USB Configurator x86,USB Configurator x86,Basler,
Beats winlogbeat 7.12.1 (x86),Beats winlogbeat 7.12.1 (x86),Elastic,
XAMPP,XAMPP,BitNami,
ACE 3.6,ACE 3.6,"Omron Adept Technologies, Inc.",
NI I/O Trace 64-bit Support 14.0.0,NI I/O Trace 64-bit Support 14.0.0,National Instruments,
NI-DAQmx MAX Configuration Support 14.0.0,NI-DAQmx MAX Configuration Support 14.0.0,National Instruments,
NI-DAQmx Documentation 14.0.0,NI-DAQmx Documentation 14.0.0,National Instruments,
NI-DAQmx DAQ Assistant 2.9.0,NI-DAQmx DAQ Assistant 2.9.0,National Instruments,
NI LabVIEW 2014 SP1 - Runtime-Engine-Webserver,NI LabVIEW 2014 SP1 - Runtime-Engine-Webserver,National Instruments,
NI LabVIEW 2012 Search,NI LabVIEW 2012 Search,National Instruments,
NI I/O Trace API LV2012,NI I/O Trace API LV2012,National Instruments,
NI System API Client for WIF 14.0.0,NI System API Client for WIF 14.0.0,National Instruments,
NI LabVIEW 2014 Web Server,NI LabVIEW 2014 Web Server,National Instruments,
NI Logos 5.9 (64 Bit),NI Logos 5.9 (64 Bit),National Instruments,
NI LabVIEW Run-Time Engine 2013 SP1 f2,NI LabVIEW Run-Time Engine 2013 SP1 f2,National Instruments,
NI-DAQ INF Files 24.0.0,NI-DAQ INF Files 24.0.0,National Instruments,
NI LabVIEW SignalExpress 2012 LabVIEW 2012 Support,NI LabVIEW SignalExpress 2012 LabVIEW 2012 Support,National Instruments,
WinCC Runtime Advanced V13.0 SP2 Upd4 -  SIMATIC WinCC Runtime Advanced  V13.0 SP2 Upd4,WinCC Runtime Advanced V13.0 SP2 Upd4 -  SIMATIC WinCC Runtime Advanced  V13.0 SP2 Upd4,Siemens AG,
SIMATIC WinCC/Audit Viewer,SIMATIC WinCC/Audit Viewer,Siemens AG,
NI LabVIEW 2011 Deployable License,NI LabVIEW 2011 Deployable License,National Instruments,
NI LabVIEW Run-Time Engine 2011 (64-bit),NI LabVIEW Run-Time Engine 2011 (64-bit),National Instruments,
QuickDIC,QuickDIC,Manufacturer,
NI USI 14.0.2 64-bit,NI USI 14.0.2 64-bit,National Instruments,
Serial Solutions Device Driver Suite,Serial Solutions Device Driver Suite,Brainboxes Ltd,
NI LabVIEW 2015 (32 Bit),NI LabVIEW 2015 (32 Bit),National Instruments,
NI LabVIEW 2015 Manuals,NI LabVIEW 2015 Manuals,National Instruments,
NI SSL LabVIEW 2015 Support,NI SSL LabVIEW 2015 Support,National Instruments,
NI-Fehlerprotokolle 2015,NI-Fehlerprotokolle 2015,National Instruments,
NI-Webserver von Anwendungen 2015 SP1,NI-Webserver von Anwendungen 2015 SP1,National Instruments,
NI System API Client for WIF 15.0.0,NI System API Client for WIF 15.0.0,National Instruments,
NI Variable Engine LabVIEW 2015 Support,NI Variable Engine LabVIEW 2015 Support,National Instruments,
NI-Engine für Umgebungsvariablen 2015,NI-Engine für Umgebungsvariablen 2015,National Instruments,
Cognex DataMan Software v5.4.0,Cognex DataMan Software v5.4.0,Cognex,
Cognex DataMan Software v5.7.0_CR11,Cognex DataMan Software v5.7.0_CR11,Cognex,
NI System Web Server Base 2015,NI System Web Server Base 2015,National Instruments,
NI-DAQmx Documentation (64-bit) 15.0.0,NI-DAQmx Documentation (64-bit) 15.0.0,National Instruments,
NI I/O Trace 15.0.0,NI I/O Trace 15.0.0,National Instruments,
NI-MDBG 14.2.1f0,NI-MDBG 14.2.1f0,National Instruments,
NI-DAQmx FSL Installer 14.5.0,NI-DAQmx FSL Installer 14.5.0,National Instruments,
NI MAX Remote Configuration 64-bit Installer 15.0,NI MAX Remote Configuration 64-bit Installer 15.0,National Instruments,
NI-DAQmx 15.0.0,NI-DAQmx 15.0.0,National Instruments,
NI System Web Server Base 2015 (64-bit),NI System Web Server Base 2015 (64-bit),National Instruments,
NI-DAQmx support for LabVIEW 15.0.0,NI-DAQmx support for LabVIEW 15.0.0,National Instruments,
NI PXI Platform Framework 15.0.0,NI PXI Platform Framework 15.0.0,National Instruments,
NI-PAL 15.0 Error Files,NI-PAL 15.0 Error Files,National Instruments,
NI-APAL 15.0 64-Bit Error Files,NI-APAL 15.0 64-Bit Error Files,National Instruments,
Siemens  Totally Integrated Automation Portal V15 - WinCC Transfer Current All Single SetupPackage  V15.0 UPD1,Siemens  Totally Integrated Automation Portal V15 - WinCC Transfer Current All Single SetupPackage  V15.0 UPD1,Siemens AG,
Festo Configuration Tool Plugin EMCA (V1.8.0.24),Festo Configuration Tool Plugin EMCA (V1.8.0.24),Festo,
TIA Administrator - AWB Software Management  V1.0,TIA Administrator - AWB Software Management  V1.0,Siemens AG,
TIA Administrator - AWB Licensing Module  V1.0,TIA Administrator - AWB Licensing Module  V1.0,Siemens AG,
Siemens  Totally Integrated Automation Portal V15 - Hardware Support Base Package 02  V15.0,Siemens  Totally Integrated Automation Portal V15 - Hardware Support Base Package 02  V15.0,Siemens AG,
NI LabVIEW Runtime 2015 SP1,NI LabVIEW Runtime 2015 SP1,National Instruments,
vcredist_x86,vcredist_x86,SAP,
NI Logos 19.0 (64 Bit),NI Logos 19.0 (64 Bit),National Instruments,
EloMultiTouch 6.9.17.5 ,EloMultiTouch 6.9.17.5 ,"Elo Touch Solutions, Inc.",
Festo Field Device Tool (V2.9.9.43663),Festo Field Device Tool (V2.9.9.43663),Festo,
Metric Collection SDK 35,Metric Collection SDK 35,Lenovo Group Limited,
PCM3.0Agent,PCM3.0Agent,Lenovo,
Lenovo USB3.0 to DVI VGA Monitor Adapter,Lenovo USB3.0 to DVI VGA Monitor Adapter,Lenovo,
SmartByte Drivers and Services,SmartByte Drivers and Services,Rivet Networks,
AccessClient 4.4.1,AccessClient 4.4.1,"New H3C Technologies Co., Ltd.",
卸载 橙瓜码字,卸载 橙瓜码字,chenggua,
搜狗输入法 9.1正式版,搜狗输入法 9.1正式版,Sogou.com,
ASM Rule Library,ASM Rule Library,Industrial Defender,
ESET Server Security,ESET Server Security,"ESET, spol. s r.o.",
FactoryTalk Alarms and Events 6.30.00 (CPR 9 SR 13),FactoryTalk Alarms and Events 6.30.00 (CPR 9 SR 13),"Rockwell Automation, Inc.",
GoToAssist Customer 4.8.0.1702,GoToAssist Customer 4.8.0.1702,"LogMeIn, Inc.",
EMCO Ping Monitor 8.0,EMCO Ping Monitor 8.0,EMCO Software,
WinZip Command Line Support Add-On,WinZip Command Line Support Add-On,,
DFUDriverSetupX64Setup,DFUDriverSetupX64Setup,GN Netcom A/S,
baramundi Automation Studio,baramundi Automation Studio,baramundi software AG,
PRO.FILE 8.7 Mail Connector SP18 Setup-Build 18048 ,PRO.FILE 8.7 Mail Connector SP18 Setup-Build 18048 ,PROCAD GmbH & Co. KG,
MaintMan® Client Version 1.8.74,MaintMan® Client Version 1.8.74,it-neX Software GmbH,
SIMATIC WinCC flexible Runtime 2008 SP2  ,SIMATIC WinCC flexible Runtime 2008 SP2  ,Siemens AG,
IQfact+_BRCM_4360_UBNT_3.0.1_Dongle,IQfact+_BRCM_4360_UBNT_3.0.1_Dongle,LitePoint Corporation,
NI Vision Acq Remote Provider LV2015,NI Vision Acq Remote Provider LV2015,National Instruments,
NI LabVIEW 2014 SP1运行引擎Web服务器,NI LabVIEW 2014 SP1运行引擎Web服务器,National Instruments,
数学核心库（64位）,数学核心库（64位）,National Instruments,
NI LabVIEW 2015 FPGA支持 - 用于主机通信,NI LabVIEW 2015 FPGA支持 - 用于主机通信,National Instruments,
NI-IMAQ Configuration 15.0.0,NI-IMAQ Configuration 15.0.0,National Instruments,
NI Vision Error Files 15.0,NI Vision Error Files 15.0,National Instruments,
NI Vision Error Files 15.0 64-bit,NI Vision Error Files 15.0 64-bit,National Instruments,
NI TDMS 15.0（64位）,NI TDMS 15.0（64位）,National Instruments,
NI软件,NI软件,National Instruments,
CitectSCADA Documentation,CitectSCADA Documentation,Schneider Electric,
QLogic Fibre Channel Driver,QLogic Fibre Channel Driver,QLogic,
Emulex NIC kit-12.0.1195.0-25,Emulex NIC kit-12.0.1195.0-25,Broadcom Ltd or its subsidiaries.,
Emulex iSCSI kit-12.0.1171.0-31,Emulex iSCSI kit-12.0.1171.0-31,Broadcom Ltd or its subsidiaries.,
Silicon Laboratories FLASH Programming Utilities,Silicon Laboratories FLASH Programming Utilities,"Silicon Laboratories, Inc.",
NI Script Editor 14.0.1,NI Script Editor 14.0.1,National Instruments,
NI-FGEN Full Common 17.1 (64-bit),NI-FGEN Full Common 17.1 (64-bit),National Instruments,
NI System Monitor 17.5,NI System Monitor 17.5,National Instruments,
NI Update Service 17.0 (64-bit),NI Update Service 17.0 (64-bit),National Instruments,
NI-FGEN Full Common 17.1,NI-FGEN Full Common 17.1,National Instruments,
DAQExpress Japanese Context Help 2017 64-bit,DAQExpress Japanese Context Help 2017 64-bit,National Instruments,
NI-SCOPE Support for SignalExpress 17.2,NI-SCOPE Support for SignalExpress 17.2,National Instruments,
NI IVI Engine Pharlap Support,NI IVI Engine Pharlap Support,National Instruments,
NI-RIO I/O Control for LabVIEW 2017 (64-bit),NI-RIO I/O Control for LabVIEW 2017 (64-bit),National Instruments,
NI-DAQmx MIO Device Drivers 17.6.0,NI-DAQmx MIO Device Drivers 17.6.0,National Instruments,
NI Reconfigurable Oscilloscope Software-Designed Instrument Runtime 17.1,NI Reconfigurable Oscilloscope Software-Designed Instrument Runtime 17.1,National Instruments,
NI-FGEN Assistant Framework Support 17.1 (64-bit),NI-FGEN Assistant Framework Support 17.1 (64-bit),National Instruments,
NI LabVIEW 2017 FPGA Error Codes (64-bit),NI LabVIEW 2017 FPGA Error Codes (64-bit),National Instruments,
NI-DAQmx French Language Pack for DAQExpress 2.0,NI-DAQmx French Language Pack for DAQExpress 2.0,National Instruments,
NI-SCOPE 18.1,NI-SCOPE 18.1,National Instruments,
NI Modular Instruments Common Runtime 16.0 for .NET Framework 4.5,NI Modular Instruments Common Runtime 16.0 for .NET Framework 4.5,National Instruments,
NI-FGEN Soft Front Panel 18.1,NI-FGEN Soft Front Panel 18.1,National Instruments,
NI-FGEN Documentation 18.1,NI-FGEN Documentation 18.1,National Instruments,
NI-FGEN Support for C 18.1,NI-FGEN Support for C 18.1,National Instruments,
NI-DAQmx Support 20.0 for .NET Framework 4.0,NI-DAQmx Support 20.0 for .NET Framework 4.0,National Instruments,
NI-DAQmx Chinese Language Pack for DAQExpress 20.0,NI-DAQmx Chinese Language Pack for DAQExpress 20.0,National Instruments,
NI Logos 20.0 (64-bit),NI Logos 20.0 (64-bit),National Instruments,
DAQExpress Chinese Context Help 5.0 64-bit,DAQExpress Chinese Context Help 5.0 64-bit,National Instruments,
NI-DAQmx Support for LabVIEW RTE 20.0,NI-DAQmx Support for LabVIEW RTE 20.0,National Instruments,
NI-MXLC Core 64-bit 20.0.0,NI-MXLC Core 64-bit 20.0.0,National Instruments,
NI VC2012RTE x64,NI VC2012RTE x64,National Instruments,
NI-DAQmx DAQ Assistant 20.0.0,NI-DAQmx DAQ Assistant 20.0.0,National Instruments,
DAQExpress_Japanese_Support,DAQExpress_Japanese_Support,National Instruments,
NI-RIO I/O Control for LabVIEW 2018,NI-RIO I/O Control for LabVIEW 2018,National Instruments,
NI-FGEN Documentation 18.1 (64-bit),NI-FGEN Documentation 18.1 (64-bit),National Instruments,
NI-DAQmx MAX Support 64-bit 20.0.0,NI-DAQmx MAX Support 64-bit 20.0.0,National Instruments,
NI-RIO FPGA Interface Driver Support 18.0 (64-bit),NI-RIO FPGA Interface Driver Support 18.0 (64-bit),National Instruments,
NI-SCOPE Development Support 18.1 (64-bit),NI-SCOPE Development Support 18.1 (64-bit),National Instruments,
NI-FGEN Full Common 18.1 (64-bit),NI-FGEN Full Common 18.1 (64-bit),National Instruments,
NI LabVIEW Runtime 2014 SP1 f11 (64-bit),NI LabVIEW Runtime 2014 SP1 f11 (64-bit),National Instruments,
NI-TClk 18.0 (64-bit),NI-TClk 18.0 (64-bit),National Instruments,
NI-SCOPE Assistant Framework Support 18.1 (64-bit),NI-SCOPE Assistant Framework Support 18.1 (64-bit),National Instruments,
IVI Shared Components 2.6,IVI Shared Components 2.6,IVI Foundation,
搜狗输入法 11.0正式版,搜狗输入法 11.0正式版,Sogou.com,
OmniDriverSPAM-win32-2.43,OmniDriverSPAM-win32-2.43,"Ocean Optics, Inc.",
NI-IMAQ Configuration 17.5,NI-IMAQ Configuration 17.5,National Instruments,
NI-IMAQ I/O Runtime 17.0,NI-IMAQ I/O Runtime 17.0,National Instruments,
NI-Serial Configuration 17.5,NI-Serial Configuration 17.5,National Instruments,
NI Measurement Studio Visual C++ Common Libraries for MFC 9.0 ,NI Measurement Studio Visual C++ Common Libraries for MFC 9.0 ,National Instruments,
NI I/O Trace 17.0.1,NI I/O Trace 17.0.1,National Instruments,
ComET-2.08A,ComET-2.08A, ETEL SA,
MATLAB Component Runtime 7.6,MATLAB Component Runtime 7.6,The MathWorks,
TP-LINK拸盄諦誧傷茼蚚最唗,TP-LINK拸盄諦誧傷茼蚚最唗,TP-LINK,
SmartGraph 6.9.0,SmartGraph 6.9.0,ALLTEC,
ABB RobotStudio 6.05,ABB RobotStudio 6.05,ABB,
Siemens  Totally Integrated Automation Portal V15 - Startdrive Hardware Support Base Package 1  V15.0,Siemens  Totally Integrated Automation Portal V15 - Startdrive Hardware Support Base Package 1  V15.0,Siemens AG,
Siemens  Totally Integrated Automation Portal V13 - STEP 7 Single SetupPackage  V13.0 + SP2,Siemens  Totally Integrated Automation Portal V13 - STEP 7 Single SetupPackage  V13.0 + SP2,Siemens AG,
CX-Simulator Version Upgrade Software 2016.08_0401,CX-Simulator Version Upgrade Software 2016.08_0401,OMRON,
Siemens  Totally Integrated Automation Portal V15 - SINUMERIK 840D sl Common  V15.0,Siemens  Totally Integrated Automation Portal V15 - SINUMERIK 840D sl Common  V15.0,Siemens AG,
Sysmac Studio Safety Controller Manuals Version Upgrade Software 2018.04_0102,Sysmac Studio Safety Controller Manuals Version Upgrade Software 2018.04_0102,OMRON,
CX-Server Version Upgrade Software 2021.01_0401,CX-Server Version Upgrade Software 2021.01_0401,Nombre de su organización,
Mastercam Licensing Installer,Mastercam Licensing Installer,Nombre de su organización,
Siemens  Totally Integrated Automation Portal V15 - STEP 7 Single SetupPackage  V15.0,Siemens  Totally Integrated Automation Portal V15 - STEP 7 Single SetupPackage  V15.0,Siemens AG,
Siemens  Totally Integrated Automation Portal V15 - Multiuser Client Single SetupPackage  V15.0,Siemens  Totally Integrated Automation Portal V15 - Multiuser Client Single SetupPackage  V15.0,Siemens AG,
Sysmac Studio NA5 Series OS Upgrade Software 2017.02_0101,Sysmac Studio NA5 Series OS Upgrade Software 2017.02_0101,OMRON,
Siemens  Totally Integrated Automation Portal V15 - STARTDRIVE-COMMON-SAT  V15.0 + Upd1,Siemens  Totally Integrated Automation Portal V15 - STARTDRIVE-COMMON-SAT  V15.0 + Upd1,Siemens AG,
FortiClient,FortiClient,Fortinet Inc,
Siemens  Totally Integrated Automation Portal V15 - Totally Integrated Automation Portal V15 SINUMERIK  V15.0,Siemens  Totally Integrated Automation Portal V15 - Totally Integrated Automation Portal V15 SINUMERIK  V15.0,Siemens AG,
"Siemens  Totally Integrated Automation Portal V15 - Startdrive G110M, G120, G120C, G120D, G120P  V15.0 + Upd1","Siemens  Totally Integrated Automation Portal V15 - Startdrive G110M, G120, G120C, G120D, G120P  V15.0 + Upd1",Siemens AG,
NX-IO Configurator Version Upgrade Software 2018.04_0401,NX-IO Configurator Version Upgrade Software 2018.04_0401,OMRON,
DriveLib V15,DriveLib V15,Siemens,
Siemens  Totally Integrated Automation Portal V13 - WinCC Single SetupPackage  V13.0 + SP2,Siemens  Totally Integrated Automation Portal V13 - WinCC Single SetupPackage  V13.0 + SP2,Siemens AG,
"Siemens  Totally Integrated Automation Portal V15 - Startdrive G130, G150, S120, S150, SINAMICS MV  V15.0 + Upd1","Siemens  Totally Integrated Automation Portal V15 - Startdrive G130, G150, S120, S150, SINAMICS MV  V15.0 + Upd1",Siemens AG,
Sysmac Studio Displacement Sensor Manuals Version Upgrade Software 2019.07_0102,Sysmac Studio Displacement Sensor Manuals Version Upgrade Software 2019.07_0102,OMRON,
Siemens  Totally Integrated Automation Portal V13 - SIMATIC S7-PLCSIM  V13.0 + SP2,Siemens  Totally Integrated Automation Portal V13 - SIMATIC S7-PLCSIM  V13.0 + SP2,Siemens AG,
ProfinetDTM Version Upgrade Software 2016.07_0401,ProfinetDTM Version Upgrade Software 2016.07_0401,OMRON,
Ethernet Device Configuration Tool,Ethernet Device Configuration Tool,Hilscher GmbH,
DTM Library 1.0370.141017.13244,DTM Library 1.0370.141017.13244,Bernecker + Rainer Industrie Elektronik Ges.m.b.H.,
SIMATIC CFC V8.2,SIMATIC CFC V8.2,Siemens AG,
WinCC Runtime Advanced V15.0 - HMIRTM Tagging Package 01 Single SetupPackage  V15.0,WinCC Runtime Advanced V15.0 - HMIRTM Tagging Package 01 Single SetupPackage  V15.0,Siemens AG,
Autodesk DWG TrueView 2019 - English,Autodesk DWG TrueView 2019 - English,Autodesk,
Siemens  Totally Integrated Automation Portal V15 - STARTDRIVE-COMMON  V15.0,Siemens  Totally Integrated Automation Portal V15 - STARTDRIVE-COMMON  V15.0,Siemens AG,
Siemens  Totally Integrated Automation Portal V15 - STARTDRIVE-COMMON-SAT  V15.0,Siemens  Totally Integrated Automation Portal V15 - STARTDRIVE-COMMON-SAT  V15.0,Siemens AG,
Festo Field Device Tool (V2.7.0.46071),Festo Field Device Tool (V2.7.0.46071),Festo,
Siemens Totally Integrated Automation Portal V15.1 - WinCC Single SetupPackage  V15.1 UPD5,Siemens Totally Integrated Automation Portal V15.1 - WinCC Single SetupPackage  V15.1 UPD5,Siemens AG,
Siemens  Totally Integrated Automation Portal V15 - Multiuser Client Single SetupPackage  V15.0 + Upd3,Siemens  Totally Integrated Automation Portal V15 - Multiuser Client Single SetupPackage  V15.0 + Upd3,Siemens AG,
Siemens Totally Integrated Automation Portal V15.1 - Openness SetupPackage  V15.1 UPD5,Siemens Totally Integrated Automation Portal V15.1 - Openness SetupPackage  V15.1 UPD5,Siemens AG,
WinCC Runtime Professional V15 - OPCUA_Client  V1.0 + SP2 + Upd2,WinCC Runtime Professional V15 - OPCUA_Client  V1.0 + SP2 + Upd2,Siemens AG,
SIMATIC S7 FM 355-2 Temperature Control V6.1 + SP2  ,SIMATIC S7 FM 355-2 Temperature Control V6.1 + SP2  ,Siemens AG,
SIMATIC S7 FM 352/452 Cam V6.0 + SP3  ,SIMATIC S7 FM 352/452 Cam V6.0 + SP3  ,Siemens AG,
DWA-140,DWA-140,D-Link,
WinCC Runtime Professional V16 -  SIMATIC WinCC Runtime  V16.0,WinCC Runtime Professional V16 -  SIMATIC WinCC Runtime  V16.0,Siemens AG,
Siemens  Totally Integrated Automation Portal V15 - WinCC Transfer Current All Single SetupPackage  V15.0 UPD4,Siemens  Totally Integrated Automation Portal V15 - WinCC Transfer Current All Single SetupPackage  V15.0 UPD4,Siemens AG,
Siemens Totally Integrated Automation Portal V15.1 - Simatic Single SetupPackage  V15.1 UPD7,Siemens Totally Integrated Automation Portal V15.1 - Simatic Single SetupPackage  V15.1 UPD7,Siemens AG,
Siemens Totally Integrated Automation Portal V15.1 - HM NoBasic Single SetupPackage  V15.1 UPD7,Siemens Totally Integrated Automation Portal V15.1 - HM NoBasic Single SetupPackage  V15.1 UPD7,Siemens AG,
Siemens  Totally Integrated Automation Portal V15 - TIACOMPCHECK Single SetupPackage  V15.0 + Upd4,Siemens  Totally Integrated Automation Portal V15 - TIACOMPCHECK Single SetupPackage  V15.0 + Upd4,Siemens AG,
Automation Studio V4.3,Automation Studio V4.3,B&R Industrial Automation GmbH,
Runtime Utility Center V4.8.9.2,Runtime Utility Center V4.8.9.2,Bernecker + Rainer Industrie Elektronik Ges.m.b.H.,
SafeDESIGNER V4.2,SafeDESIGNER V4.2,Bernecker + Rainer Industrie Elektronik Ges.m.b.H.,
SolidLink 2020,SolidLink 2020,Vero Software,
Siemens Totally Integrated Automation Portal V16 - Simatic Single SetupPackage  V16.0 UPD4,Siemens Totally Integrated Automation Portal V16 - Simatic Single SetupPackage  V16.0 UPD4,Siemens AG,
Siemens Totally Integrated Automation Portal V16 - HM All Editions Single SetupPackage  V16.0 UPD4,Siemens Totally Integrated Automation Portal V16 - HM All Editions Single SetupPackage  V16.0 UPD4,Siemens AG,
TIA Administrator - TIA UMC Agent Configurator Module  V1.0 + SP2 + Upd2,TIA Administrator - TIA UMC Agent Configurator Module  V1.0 + SP2 + Upd2,Siemens AG,
User Management Component -  UserManagementComponentx64  V2.7 Upd1,User Management Component -  UserManagementComponentx64  V2.7 Upd1,Siemens AG,
Siemens Totally Integrated Automation Portal V16 - HM NoBasic Single SetupPackage  V16.0 UPD4,Siemens Totally Integrated Automation Portal V16 - HM NoBasic Single SetupPackage  V16.0 UPD4,Siemens AG,
Siemens Totally Integrated Automation Portal V15.1 - Simatic Single SetupPackage  V15.1 UPD3,Siemens Totally Integrated Automation Portal V15.1 - Simatic Single SetupPackage  V15.1 UPD3,Siemens AG,
SINEMA RC Client,SINEMA RC Client,Siemens AG,
TIA Portal Multiuser Server V15.1 -  TIA Portal Multiuser Server Single SetupPackage  V15.1 Upd3,TIA Portal Multiuser Server V15.1 -  TIA Portal Multiuser Server Single SetupPackage  V15.1 Upd3,Siemens AG,
XSplit Gamecaster,XSplit Gamecaster,SplitmediaLabs,
Electronic-Key-Manager EKM (Demo version),Electronic-Key-Manager EKM (Demo version),EUCHNER GmbH + Co. KG,
FreeFileSync 11.1,FreeFileSync 11.1,FreeFileSync.org,
Siemens Totally Integrated Automation Portal V16 - TcGateway SetupPackage  V16.0 UPD4,Siemens Totally Integrated Automation Portal V16 - TcGateway SetupPackage  V16.0 UPD4,Siemens AG,
TIPCI,TIPCI,Texas Instruments Inc.,
Texas Instruments PCIxx21/x515/xx12 drivers.,Texas Instruments PCIxx21/x515/xx12 drivers.,Texas Instruments Inc.,
Schneider Electric Altivar Machine ATV320 DTM Library,Schneider Electric Altivar Machine ATV320 DTM Library,Schneider Electric,
ODE-Engineer,ODE-Engineer,OSAIcnc s.r.l.,
SinuTrain SINUMERIK CNC-SW 840D sl 4.8 SP4,SinuTrain SINUMERIK CNC-SW 840D sl 4.8 SP4,Siemens AG,
SinuTrain Workbench 1.6,SinuTrain Workbench 1.6,Siemens AG,
SIMATIC S7-Web2PLC V1.0 + SP2 + HF1 Professional 2010 SR4  ,SIMATIC S7-Web2PLC V1.0 + SP2 + HF1 Professional 2010 SR4  ,Siemens AG,
PDF-XChange 4 Pro,PDF-XChange 4 Pro,Tracker Software Products Ltd,
Siemens  Totally Integrated Automation Portal V13 - Simatic Single SetupPackage  V13.0 SP1 UPD9,Siemens  Totally Integrated Automation Portal V13 - Simatic Single SetupPackage  V13.0 SP1 UPD9,Siemens AG,
Privileged Remote Access Jump Client 22.1.1 [beyondtrust.securiot.dk] [61040371],Privileged Remote Access Jump Client 22.1.1 [beyondtrust.securiot.dk] [61040371],BeyondTrust,
Secure Update,Secure Update,Your Company Name,
ETS Launch Pad,ETS Launch Pad,Your Company Name,
NetWaiting,NetWaiting,"BVRP Software, Inc",
OpenOffice.org 2.0,OpenOffice.org 2.0,OpenOffice.org,
TextPad 4.7,TextPad 4.7,Helios,
upekmsi,upekmsi,Wave Systems Corp,
Roxio Creator DE,Roxio Creator DE,Roxio,
Bricsys Network License Manager,Bricsys Network License Manager,Bricsys,
Aspen Calc,Aspen Calc,AspenTech,
Valmet DNA Engineering Audit Tool,Valmet DNA Engineering Audit Tool,Valmet,
Valmet DNA Report Portal,Valmet DNA Report Portal,Valmet Corporation,
SLM Tools (64bit),SLM Tools (64bit),AspenTech,
Aspen IP.21 Process Browser,Aspen IP.21 Process Browser,AspenTech,
Valmet DNA Historian Calculation Environment,Valmet DNA Historian Calculation Environment,Valmet Corporation,
Valmet DNA Report Localization Tool Server,Valmet DNA Report Localization Tool Server,Valmet Corporation,
Aspen InfoPlus.21,Aspen InfoPlus.21,AspenTech,
Valmet DNA Engineering Field Device Condition Monitoring,Valmet DNA Engineering Field Device Condition Monitoring,Valmet,
Valmet DNA Historian EDC4ALP,Valmet DNA Historian EDC4ALP,Valmet Corporation,
Valmet DNA Historian evtHandlerController,Valmet DNA Historian evtHandlerController,Valmet Corporation,
Valmet DNA CAD BricsCAD 22,Valmet DNA CAD BricsCAD 22,Valmet,
SIMATIC WinCC OPC Server V3.9 + SP11 + Upd4,SIMATIC WinCC OPC Server V3.9 + SP11 + Upd4,Siemens AG,
SIMATIC WinCC Configuration V7.5 + SP2 + Upd12,SIMATIC WinCC Configuration V7.5 + SP2 + Upd12,Siemens AG,
Siemens Totally Integrated Automation Portal V17 - STEP 7 Single SetupPackage  V17.0 UPD5,Siemens Totally Integrated Automation Portal V17 - STEP 7 Single SetupPackage  V17.0 UPD5,Siemens AG,
SIMATIC WinCC Runtime Advanced V17.0 UPD5,SIMATIC WinCC Runtime Advanced V17.0 UPD5,Siemens AG,
SIMATIC CFC V9.0,SIMATIC CFC V9.0,Siemens AG,
SIMATIC AS-OS-Engineering V9.0 + SP7 + Upd1,SIMATIC AS-OS-Engineering V9.0 + SP7 + Upd1,Siemens AG,
Ouverture de Portes (M:\Program Files\OuverturePorte\) #3,Ouverture de Portes (M:\Program Files\OuverturePorte\) #3,,
Installation des Rapports Applux,Installation des Rapports Applux,,
